,MovieRating,DirectorRating,MovieTitle,startYear,class,scaledVotes,decade,Directors
55,6.7,6.75,Special Agent,1935,Movie Rating < Director Rating,1.0450963411753875,1930,William Keighley
56,6.1,6.25,Laughing Heirs,1933,Movie Rating < Director Rating,1.0088019364703769,1930,Max Ophüls
57,6.4,6.25,Divine,1935,Movie Rating > Director Rating,1.0066829517645457,1930,Max Ophüls
58,5.3,5.6,Flådens blå matroser,1937,Movie Rating < Director Rating,1.0013583235293793,1930,Jon Iversen
59,6.5,6.65,Robert Koch: The Battle Against Death,1939,Movie Rating < Director Rating,1.0033686423528605,1930,Hans Steinhoff
60,5.8,5.9499999999999975,Bed and Breakfast,1930,Movie Rating < Director Rating,1.0002716647058758,1930,Walter Forde
61,5.8,5.6999999999999975,Buster se marie,1931,Movie Rating > Director Rating,1.0010866588235032,1930,Claude Autant-Lara
62,5.7,5.4,Rebound,1931,Movie Rating > Director Rating,1.0066829517645457,1930,Edward H. Griffith
63,7.0,7.1,Diggers in Blighty,1933,Movie Rating < Director Rating,1.0003803305882262,1930,Raymond Longford
64,5.8,6.85,Number 17,1932,Movie Rating < Director Rating,1.239119274111906,1930,Alfred Hitchcock
65,6.2,6.2,The First Baby,1936,Movie Rating = Director Rating,1.0003259976470509,1930,Lewis Seiler
66,6.3,5.65,Cornered,1932,Movie Rating > Director Rating,1.0005976623529271,1930,B. Reeves Eason
67,6.0,6.3,Me and My Pal,1939,Movie Rating < Director Rating,1.0005433294117516,1930,Thomas Bentley
68,5.9,6.400000000000001,Super-Speed,1935,Movie Rating < Director Rating,1.0007606611764523,1930,Lambert Hillyer
69,5.8,6.15,Behind the Make-Up,1930,Movie Rating < Director Rating,1.0054332941175166,1930,Dorothy Arzner
70,6.2,5.675,Strange Wives,1934,Movie Rating > Director Rating,1.0002716647058758,1930,Richard Thorpe
71,6.5,5.6,Too Many Parents,1936,Movie Rating > Director Rating,1.0028796458822835,1930,Robert F. McGowan
72,6.1,6.166666666666668,The Florodora Girl,1930,Movie Rating < Director Rating,1.067698844704257,1930,Harry Beaumont
