,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
9393,tt10691302,movie,Penguin Land,Penguin Land,0,2019,70,"Animation,Family",3.8,13,Animation
9394,tt0092943,movie,ESD,ESD,0,1987,98,Family,4.8,14,Family
9396,tt0053219,movie,Return of the Fly,Return of the Fly,0,1959,80,"Drama,Fantasy,Horror",5.8,4216,Drama
9399,tt1474852,movie,Sex in '69: The Sexual Revolution in America,Sex in '69: The Sexual Revolution in America,0,2009,120,"Documentary,History",7.0,42,Documentary
9402,tt0821955,movie,Saint Anthony of Padua,"Antonio di Padova, Il santo dei miracoli",0,1931,90,Biography,4.9,10,Biography
9409,tt1189349,movie,A Necessary Death,A Necessary Death,0,2008,101,"Drama,Thriller",6.7,443,Drama
9412,tt0097702,movie,The Icicle Thief,Ladri di saponette,0,1989,94,Comedy,7.0,940,Comedy
9414,tt0046433,movie,Praterherzen,Praterherzen,0,1953,102,Romance,5.2,6,Romance
9424,tt0104063,movie,Dead Flowers,Dead Flowers,0,1992,90,Drama,6.1,9,Drama
9430,tt0185850,movie,Ai shang 100% ying xiong,Ai shang 100% ying xiong,0,1997,96,"Action,Comedy",5.4,68,Action
9431,tt4300696,movie,Santan,Santan,0,1999,133,Drama,7.2,12,Drama
9442,tt0159502,movie,Cadets,Kadetten,0,1939,94,"Drama,War",7.4,21,Drama
9448,tt6417586,movie,Smile Please,Smile Please,0,2017,124,"Comedy,Family",6.9,7,Comedy
9450,tt0122708,movie,The Stone Lion,Shir Sangi,0,1987,87,"Drama,History,War",6.6,102,Drama
9451,tt1225681,movie,Maggie in Wonderland,Maggie vaknar på balkongen,0,2008,72,Documentary,5.7,80,Documentary
9457,tt0046802,movie,The Bowery Boys Meet the Monsters,The Bowery Boys Meet the Monsters,0,1954,65,"Comedy,Horror,Sci-Fi",6.2,596,Comedy
9464,tt1270678,movie,The First Day of Winter,Il primo giorno d'inverno,0,2008,88,Drama,5.9,175,Drama
9466,tt0138679,movie,Onnen-Pekka,Onnen-Pekka,0,1948,82,"Comedy,Drama,Family",4.8,33,Comedy
9467,tt5440848,movie,Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,0,2016,56,Animation,8.4,603,Animation
9472,tt0180102,movie,Rocambole,Rocambole,0,1963,95,"Action,Adventure,Crime",5.1,39,Action
9473,tt1624418,movie,Fool in a Bubble,Fool in a Bubble,0,2010,89,"Documentary,Drama,History",9.0,6,Documentary
9477,tt0029831,movie,13 Stühle,13 Stühle,0,1938,92,Comedy,7.0,156,Comedy
9482,tt2762662,movie,Better Start Running,Better Start Running,0,2018,92,"Action,Comedy",5.2,735,Action
9484,tt3823018,movie,Sparrows,Þrestir,0,2015,99,Drama,6.8,1448,Drama
9490,tt2657648,movie,Changing Hands Feature,Changing Hands Feature,0,2012,98,"Action,Crime,Drama",7.0,14,Action
9498,tt9647298,movie,God of the Piano,God of the Piano,0,2019,80,Drama,6.5,305,Drama
9499,tt7683148,movie,Living in the Future's Past,Living in the Future's Past,0,2018,100,Documentary,6.5,324,Documentary
9501,tt0200230,movie,Three Girls from America,Tria koritsia ap' tin Amerika,0,1964,87,"Comedy,Romance",5.9,25,Comedy
9503,tt7350768,movie,All Who Dare,All Who Dare,0,2017,61,Documentary,8.7,20,Documentary
9508,tt1699702,movie,Strong Bodies Fight,Strong Bodies Fight,0,2011,65,"Documentary,Family,History",8.9,15,Documentary
9511,tt0078544,movie,¿Qué hace una chica como tú en un sitio como éste?,¿Qué hace una chica como tú en un sitio como éste?,0,1978,85,"Comedy,Drama",5.0,148,Comedy
9514,tt0254372,movie,Hamrahi,Hamrahi,0,1963,149,"Drama,Family",6.3,28,Drama
9518,tt0027423,movie,Career Woman,Career Woman,0,1936,76,Drama,6.2,67,Drama
